id,trending_data,name,cases
351,346,Measles,12
352,344,Measles,5
353,331,Measles,14
354,323,Fever with Rash,9
355,349,Measles,45
356,415,Measles,93
357,377,Acute Diarrheal Disease,31
358,415,Fever with Rash,13
359,359,Food Poisoning,16
360,358,Food Poisoning,19
361,379,Acute Diarrheal Disease,80
362,378,Acute Diarrheal Disease,56
363,383,Chickenpox,8
364,435,Acute Diarrheal Disease,87
365,401,Acute Diarrheal Disease,26
366,382,Food Poisoning,14
367,384,Acute Diarrheal Disease,8
368,392,Japanese Encephalitis,5
369,445,Acute Diarrheal Disease,14
370,357,Food Poisoning,16
371,421,Cholera,215
372,366,Acute Diarrheal Disease,102
373,422,Acute Diarrheal Disease,9
374,387,Measles,40
375,472,Cholera,225
376,394,Acute Diarrheal Disease,16
377,386,Acute Diarrheal Disease,41
378,380,Hepatitis E,11
379,356,Measles,5
380,463,Acute Diarrheal Disease,66
381,389,Acute Diarrheal Disease,98
382,448,Acute Diarrheal Disease,82
383,443,Mumps,12
384,433,Acute Diarrheal Disease,113
385,406,Acute Diarrheal Disease,63
386,451,Acute Diarrhoeal Disease,24
387,388,Food Poisoning,53
388,389,Jaundice,13
389,360,Acute Diarrheal Disease,151
390,410,Acute Diarrheal Disease,109
391,407,Acute Diarrheal Disease,38
392,458,Acute Diarrheal Disease,42
393,470,Measles,6
394,416,Acute Diarrheal Disease,24
395,364,Food Poisoning,80
396,477,Measles,7
397,476,Measles,31
398,374,Acute Diarrheal Disease,37
399,361,Acute Diarrheal Disease,36
400,362,Acute Diarrheal Disease,34
401,370,Acute Diarrheal Disease,33
402,400,Cholera,43
403,399,Cholera,50
404,397,Acute Diarrheal Disease,135
405,403,Acute Diarrheal Disease,41
406,414,Acute Diarrheal Disease,28
407,457,Acute Diarrheal Disease,97
408,351,Acute Diarrheal Disease,30
409,371,Acute Diarrheal Disease,21
410,365,Acute Diarrheal Disease,59
411,363,Acute Diarrheal Disease,87
412,367,Acute Diarrheal Disease,47
413,368,Acute Diarrheal Disease,51
414,456,Acute Diarrheal Disease,76
415,444,Measles,62
416,385,Dengue,24
417,413,Acute Diarrheal Disease,118
418,408,Malaria,4
419,453,Acute Diarrheal Disease,25
420,460,Acute Diarrheal Disease,42
421,464,Acute Diarrheal Disease,47
422,465,Food Poisoning,24
423,466,Acute Diarrheal Disease,31
424,474,Cholera,225
425,459,Mumps,10
426,442,Chickenpox,5
427,442,Measles,19
428,423,Acute Diarrheal Disease,82
429,417,Acute Diarrheal Disease,10
430,418,Acute Diarrheal Disease,37
431,419,Acute Diarrheal Disease,14
432,420,Food Poisoning,72
433,434,Measles,23
434,455,Acute Diarrheal Disease,38
435,454,Acute Diarrheal Disease,26
436,473,Cholera,62
437,461,Acute Diarrheal Disease,58
438,452,Acute Diarrheal Disease,47
439,446,Acute Diarrheal Disease,31
440,447,Dengue,45
441,469,Food Poisoning,107
442,426,Measles,15
443,405,Acute Diarrheal Disease,14
444,462,Acute Diarrheal Disease,67
445,478,Acute Diarrheal Disease,97
446,471,Measles,22
447,395,Acute Diarrheal Disease,85
448,402,Measles,49
449,353,Acute Diarrheal Disease,113
450,373,Acute Diarrheal Disease,237
451,475,Cholera,96
452,376,Malaria,142
453,409,Acute Diarrheal Disease,115
454,391,Acute Diarrheal Disease,34
455,393,Acute Diarrheal Disease,44
456,388,Acute Diarrheal Disease,24
457,369,Acute Diarrheal Disease,42
458,390,Acute Diarrheal Disease,52
459,396,Acute Diarrheal Disease,30
460,449,Acute Diarrheal Disease,17
461,450,Acute Diarrheal Disease,14
462,430,Acute Diarrheal Disease,25
463,372,Acute Diarrheal Disease,30
464,436,Acute Diarrheal Disease,15
465,438,Acute Diarrheal Disease,20
466,440,Acute Diarrheal Disease,16
467,441,Acute Diarrheal Disease,12
468,355,Measles,6
469,444,Acute Diarrheal Disease,36
470,412,Measles,9
471,437,Acute Diarrheal Disease,16
472,427,Acute Diarrheal Disease,31
473,411,Acute Diarrheal Disease,26
474,428,Acute Diarrheal Disease,48
475,424,Acute Gastroenteritis,33
476,425,Dengue,17
477,432,Jaundice,10
478,468,Acute Diarrheal Disease,79
479,404,Acute Diarrheal Disease,35
480,352,Acute Diarrheal Disease,19
481,431,Chikungunya,4
482,354,Acute Diarrheal Disease,20
483,375,Acute Diarrheal Disease,169
484,429,Dengue,9
485,439,Chickenpox,20
486,467,Acute Diarrheal Disease,32
487,479,Food Poisoning,24
488,480,Mumps,6
489,483,Acute Diarrheal Disease,6
490,482,Food Poisoning,20
491,481,Kyasanur Forest Disease,6
492,493,Scrub Typhus,6
493,512,Cholera,60
494,587,Acute Diarrheal Disease,12
495,569,Acute Diarrheal Disease,73
496,511,Food Poisoning,8
497,491,Cholera,29
498,515,Acute Diarrheal Disease,58
499,565,Measles,12
500,501,Food Poisoning,29
501,500,Acute Diarrheal Disease,27
502,590,Acute Diarrheal Disease,86
503,552,Acute Diarrheal Disease,222
504,499,Acute Diarrheal Disease,812
505,502,Food Poisoning,60
506,503,Cholera,176
507,519,Food Poisoning,22
508,518,Acute Diarrheal Disease,115
509,489,Cholera,6
510,517,Acute Diarrheal Disease,75
511,504,Dengue,16
512,576,Food Poisoning,16
513,544,Jaundice,55
514,505,Cholera,30
515,507,Cholera,46
516,521,Cholera,5
517,498,Cholera,11
518,522,Chikungunya,7
519,513,Food Poisoning,26
520,510,Hepatitis A,29
521,509,Typhoid,4
522,578,Chikungunya,9
523,497,Cholera,12
524,496,Cholera,138
525,495,Acute Diarrheal Disease,46
526,525,Acute Diarrheal Disease,73
527,584,Acute Diarrheal Disease,117
528,506,Acute Diarrheal Disease,53
529,580,Food Poisoning,38
530,542,Acute Diarrheal Disease,6
531,577,Hepatitis A,16
532,556,Food Poisoning,79
533,579,Acute Diarrheal Disease,86
534,563,Food Poisoning,47
535,543,Food Poisoning,12
536,526,Acute Diarrheal Disease,10
537,523,Acute Diarrheal Disease,78
538,485,Cholera,200
539,555,Hepatitis A,21
540,487,Food Poisoning,68
541,564,Food Poisoning,6
542,545,Acute Diarrheal Disease,48
543,546,Chikungunya,52
544,486,Cholera,59
545,488,Acute Diarrheal Disease,72
546,597,Food Poisoning,127
547,586,Cholera,83
548,582,Mumps,19
549,568,Hepatitis A,19
550,520,Acute Diarrheal Disease,10
551,562,Acute Diarrheal Disease,16
552,574,Acute Diarrheal Disease,9
553,570,Food Poisoning,48
554,553,Food Poisoning,50
555,554,Acute Diarrheal Disease,9
556,514,Cholera,40
557,516,Measles,8
558,549,Acute Diarrheal Disease,50
559,548,Measles,8
560,547,Cholera,60
561,557,Food Poisoning,22
562,558,Jaundice,6
563,559,Measles,10
564,560,Typhoid,59
565,550,Hepatitis A,13
566,551,Cholera,17
567,561,Acute Diarrheal Disease,17
568,541,Cholera,3
569,528,Acute Diarrheal Disease,17
570,529,Acute Diarrheal Disease,39
571,583,Cholera,129
572,595,Food Poisoning,17
573,527,Food Poisoning,42
574,596,Acute Diarrheal Disease,68
575,534,Food Poisoning,25
576,535,Acute Diarrheal Disease,44
577,536,Food Poisoning,204
578,537,Food Poisoning,57
579,566,Food Poisoning,4
580,594,Measles,5
581,493,Acute Diarrheal Disease,491
582,575,Chikungunya,5
583,573,Measles,7
584,567,Acute Diarrheal Disease,41
585,571,Food Poisoning,111
586,490,Cholera,64
587,508,Acute Diarrheal Disease,79
588,494,Cholera,61
589,581,Hepatitis A,22
590,593,Measles,8
591,591,Food Poisoning,37
592,589,Food Poisoning,67
593,540,Typhoid,5
594,538,Food Poisoning,81
595,592,Measles & Rubella,12
596,597,Food Poisoning,23
597,492,Cholera,112
598,530,Food Poisoning,17
599,531,Acute Diarrheal Disease,47
600,539,Acute Diarrheal Disease,64
601,532,Acute Diarrheal Disease,7
602,603,Food Poisoning,60
603,533,Cholera,216
604,588,Cholera,33
605,524,Acute Diarrheal Disease,19
606,608,Food Poisoning,15
607,606,Cholera,140
608,611,Hepatitis A,51
609,602,Cholera,369
610,612,Diphtheria,3
611,612,Chickenpox,15
612,598,Acute Diarrheal Disease,34
613,604,Acute Diarrheal Disease,141
614,607,Cholera,459
615,613,Measles,6
616,610,Acute Diarrheal Disease,43
617,605,Scrub Typhus,5
618,600,Hepatitis A,127
619,599,Hepatitis A & E,30
620,601,Chickenpox,37
621,609,Acute Diarrheal Disease,30
622,618,Hepatitis A,88
623,626,Acute Diarrheal Disease,45
624,624,Acute Diarrheal Disease,47
625,614,Acute Diarrheal Disease,290
626,615,Acute Diarrheal Disease,105
627,621,Jaundice,20
628,623,Hepatitis A,11
629,617,Acute Diarrheal Disease,186
630,620,Acute Diarrheal Disease,26
631,625,Hepatitis A,59
632,616,Acute Diarrheal Disease,150
633,619,Hepatitis A,41
634,622,Acute Diarrheal Disease,115
635,711,Human Rabies,1
636,709,Acute Diarrheal Disease,41
637,694,Hepatitis A,12
638,629,Mumps,18
639,704,Hepatitis A,12
640,700,Hepatitis A,48
641,651,Hepatitis A,18
642,659,Cholera,27
643,642,Chickenpox,12
644,643,Hepatitis A,19
645,644,Acute Diarrheal Disease,37
646,645,Food Poisoning,134
647,646,Cholera,41
648,647,Human Rabies,1
649,701,Acute Diarrheal Disease,142
650,699,Hepatitis A,9
651,702,Hepatitis A,8
652,674,Hepatitis A,5
653,698,Acute Diarrheal Disease,87
654,676,Hepatitis A,10
655,672,Acute Diarrheal Disease,38
656,671,Mumps,10
657,687,Hepatitis A,21
658,661,Mumps,14
659,691,Jaundice,46
660,710,Chikungunya,8
661,655,Hepatitis A,14
662,658,Chickenpox,26
663,660,Hepatitis A,14
664,663,Hepatitis A,9
665,632,Mumps,19
666,684,Mumps,11
667,677,Acute Diarrheal Disease,76
668,678,Mumps,13
669,670,Others,39
670,690,Acute Diarrheal Disease,48
671,693,Mumps,16
672,697,Hepatitis A,10
673,697,Hepatitis A,19
674,676,Hepatitis A,15
675,673,Cholera,23
676,650,Food Poisoning,13
677,670,Hepatitis A,11
678,639,Hepatitis A,8
679,708,Hepatitis A,30
680,654,Hepatitis A,13
681,696,Jaundice,15
682,628,Human Rabies,1
683,669,Hepatitis A,10
684,668,Hepatitis A,28
685,667,Hepatitis A,11
686,653,Chickenpox,50
687,652,Hepatitis A,10
688,649,Measles,6
689,666,Hepatitis A,27
690,636,Jaundice,17
691,631,Chickenpox,23
692,630,Chickenpox,10
693,635,Hepatitis A,18
694,634,Hepatitis A,12
695,657,Acute Diarrheal Disease,51
696,640,Hepatitis A,18
697,665,Chickenpox,17
698,664,Hepatitis A,18
699,656,Hepatitis A,9
700,641,Cholera,23
701,706,Dengue,5
702,707,Hepatitis A,10
703,679,Hepatitis A,10
704,685,Cholera,47
705,638,Hepatitis A,12
706,648,Mumps,13
707,639,Hepatitis A,10
708,675,Hepatitis A,8
709,627,Hepatitis A,25
710,637,Cholera,59
711,712,Hepatitis A,6
712,681,Hepatitis A,16
713,682,Mumps,10
714,683,Acute Diarrheal Disease,27
715,633,Chickenpox,14
716,705,Hepatitis A,21
717,692,Hepatitis A,20
718,686,Mumps,8
719,703,Hepatitis A,20
720,695,Hepatitis A,27
721,688,Hepatitis A,5
722,680,Chickenpox,18
723,689,Mumps,5
724,749,Chickenpox,5
725,724,Chickenpox,5
726,779,Chickenpox,22
727,788,Acute Diarrheal Disease,10
728,722,Chickenpox,7
729,721,Acute Diarrheal Disease,23
730,720,Chickenpox,9
731,769,Malaria,7
732,752,Chickenpox,23
733,730,Malaria,17
734,728,Chickenpox,9
735,747,Chickenpox,23
736,745,Food Poisoning,87
737,751,Measles,8
738,716,Acute Diarrheal Disease,19
739,750,Scrub Typhus,5
740,715,Malaria,11
741,771,Acute Diarrheal Disease,25
742,793,Acute Diarrheal Disease,21
743,778,Fever with Rash,12
744,764,Chickenpox,10
745,803,Acute Diarrheal Disease,7
746,737,Chickenpox,12
747,738,Measles,8
748,809,Acute Diarrheal Disease,67
749,765,Acute Diarrheal Disease,10
750,782,Acute Diarrheal Disease,15
751,754,Acute Diarrheal Disease,12
752,757,Fever with Rash,10
753,756,Acute Diarrheal Disease,16
754,816,Chickenpox,15
755,761,Chickenpox,10
756,757,Malaria,43
757,758,Malaria,30
758,759,Food Poisoning,12
759,760,Typhoid,8
760,814,Acute Diarrheal Disease,12
761,815,Scrub typhus,40
762,810,Chickenpox,7
763,781,Malaria,43
764,719,Dengue,10
765,783,Human Rabies,1
766,717,Chickenpox,10
767,776,Measles,4
768,774,Mumps,23
769,773,Chickenpox,9
770,772,Chickenpox,5
771,736,Food Poisoning,16
772,802,Measles,9
773,771,Measles,8
774,786,Acute Diarrheal Disease,16
775,806,Food Poisoning,67
776,808,Chickenpox,5
777,780,Acute Diarrheal Disease,43
778,735,Acute Diarrheal Disease,12
779,789,Acute Diarrheal Disease,17
780,812,Measles,28
781,792,Malaria,55
782,791,Chickenpox,13
783,742,Acute Diarrheal Disease,12
784,770,Chickenpox,8
785,801,Acute Diarrheal Disease,16
786,790,Malaria,38
787,804,Fever with Rash,6
788,787,Fever with Rash,11
789,784,Mumps,5
790,741,Malaria,8
791,740,Acute Diarrheal Disease,34
792,755,Chickenpox,20
793,732,Malaria,18
794,813,Measles,30
795,725,Malaria,6
796,762,Malaria,40
797,763,Acute Diarrheal Disease,16
798,714,Acute Diarrheal Disease,20
799,713,Acute Diarrheal Disease,9
800,718,Acute Diarrheal Disease,45
801,729,Chickenpox,13
802,777,Acute Diarrheal Disease,39
803,743,Chickenpox,13
804,794,Measles,6
805,727,Acute Diarrheal Disease,10
806,733,Malaria,10
807,811,Acute Diarrheal Disease,22
808,760,Acute Diarrheal Disease,32
809,731,Chickenpox,36
810,800,Measles,11
811,759,Acute Diarrheal Disease,57
812,723,Measles,3
813,739,Acute Diarrheal Disease,12
814,758,Acute Diarrheal Disease,43
815,734,Typhoid,8
816,748,Malaria,13
817,746,Malaria,31
818,795,Acute Diarrheal Disease,11
819,726,Dengue,45
820,766,Measles,40
821,767,Rubella,15
822,744,Chikungunya,5
823,797,Acute Diarrheal Disease,26
824,768,Food Poisoning,202
825,798,Malaria,32
826,796,Acute Diarrheal Disease,4
827,805,Chickenpox,7
828,799,Mumps,23
829,860,Hand Foot Mouth Disease (HFMD),241
830,830,Acute Diarrheal Disease,48
831,831,Acute Diarrheal Disease,23
832,832,Dengue,31
833,843,Cholera,5
834,829,Chikungunya,23
835,828,Zika Virus,7
836,856,Food Poisoning,64
837,855,Acute Diarrheal Disease,31
838,871,Cholera,71
839,874,Hepatitis A,24
840,873,Acute Diarrheal Disease,50
841,955,Fever,21
842,857,Food Poisoning,56
843,820,Chickenpox,26
844,823,Cholera,21
845,835,Food Poisoning,14
846,836,Dengue,37
847,870,Chikungunya,12
848,827,Acute Diarrheal Disease,99
849,833,Acute Diarrheal Disease,14
850,869,Acute Diarrheal Disease,21
851,854,Food Poisoning,61
852,867,Acute Diarrheal Disease,94
853,868,Measles,11
854,825,Acute Diarrheal Disease,91
855,822,Japanese Encephalitis,1
856,819,Cholera,235
857,817,Typhoid,18
858,866,Acute Diarrheal Disease,27
859,852,Acute Diarrheal Disease,48
860,845,Cholera,8
861,858,Acute Diarrheal Disease,38
862,821,Mumps,24
863,818,Food Poisoning,46
864,824,Acute Diarrheal Disease,41
865,859,Mumps,13
866,826,Food Poisoning,64
867,865,Acute Diarrheal Disease,22
868,864,Chikungunya,73
869,849,Food Poisoning,17
870,846,Food Poisoning,17
871,847,Acute Diarrheal Disease,89
872,848,Dysentery,35
873,861,Acute Diarrheal Disease,13
874,862,Cholera,85
875,844,Acute Diarrheal Disease,90
876,837,Food Poisoning,33
877,853,Food Poisoning,22
878,838,Acute Diarrheal Disease,86
879,839,Acute Diarrheal Disease,30
880,840,Acute Diarrheal Disease,50
881,850,Acute Diarrheal Disease,35
882,851,Dengue,14
883,841,Acute Diarrheal Disease,27
884,863,Leptospirosis,15
885,834,Food Poisoning,21
886,842,Acute Diarrheal Disease,41
887,941,Acute Diarrheal Disease,16
888,909,Food Poisoning,27
889,923,Food Poisoning,47
890,922,Food Poisoning,43
891,879,Cholera,133
892,927,Acute Diarrheal Disease,65
893,876,Kyasanur Forest Disease,139
894,875,Kyasanur Forest Disease,133
895,896,Cholera,97
896,928,Acute Diarrheal Disease,5
897,924,Cholera,47
898,929,Dengue,45
899,937,Chikungunya,53
900,890,Shigellosis,39
901,910,Food Poisoning,67
902,930,Chikungunya,17
903,945,Acute Diarrheal Disease,5
904,946,Kyasanur Forest Disease,297
905,895,Cholera,9
906,949,Kyasanur Forest Disease,310
907,902,Acute Diarrheal Disease,60
908,888,Cholera,62
909,878,Cholera,45
910,926,Acute Diarrheal Disease,24
911,894,Acute Diarrheal Disease,19
912,893,Cholera,55
913,893,Acute Diarrheal Disease,43
914,880,Human Rabies,1
915,881,Kyasanur Forest Disease,1
916,882,Food Poisoning,24
917,883,Mumps,20
918,887,Cholera,150
919,877,Food Poisoning,58
920,903,Acute Diarrheal Disease,20
921,934,Food Poisoning,13
922,933,Food Poisoning,98
923,932,Cholera,310
924,931,Acute Diarrheal Disease,18
925,898,Acute Diarrheal Disease,15
926,899,Cholera,10
927,900,Cholera,30
928,901,Acute Diarrheal Disease,13
929,904,Food Poisoning,104
930,943,Acute Diarrheal Disease,34
931,946,Kyasanur Forest Disease,53
932,925,Food Poisoning,135
933,906,Acute Diarrheal Disease,144
934,938,Acute Diarrheal Disease,78
935,944,Acute Diarrheal Disease,19
936,889,Acute Diarrheal Disease,63
937,891,Kyasanur Forest Disease,13
938,950,Acute Diarrheal Disease,55
